id,name,short,desc,cost,isBonus,isGolden,spritePath,effectPlugin,extra1,extra2,source,tags,spriteAuthor
edamage_increase,Naval Arms Race,Increase enemy damage,Enemy damage x %s,3,FALSE,,graphics/ungp/icons/ungp_rules/edamage_increase.png,ungp.impl.rules.combat.UNGP_EnemyDamageIncrease,,,,,
edamage_decrease,Guard Fleet,Increase enemy resistance ,Enemy damage taken x %s,4,FALSE,,graphics/ungp/icons/ungp_rules/edamage_decrease.png,ungp.impl.rules.combat.UNGP_EnemyDamageTakenReduction,,,,,
striker_school,Striker School,Increase the performance of enemy carriers,"Enemy replacement recover rate + %s, drop rate - %s, fighter replacement speed + %s",2,FALSE,,graphics/ungp/icons/ungp_rules/striker_school.png,ungp.impl.rules.combat.UNGP_StrikerSchool,,,,,议长√
layered_armor,Layered Armor,Increase enemy effective armor,"Enemy armor + %s for calculation only, and fighters only take %s bonus",3,FALSE,,graphics/ungp/icons/ungp_rules/layered_armor.png,ungp.impl.rules.combat.UNGP_LayeredArmor,,,,,议长√
explosive_sniper,Explosive Sniper,Increase the speed of enemy missiles,Enemy missile flight speed + %s and maneuverability + %s,2,FALSE,,graphics/ungp/icons/ungp_rules/explosive_sniper.png,ungp.impl.rules.combat.UNGP_ExplosiveSniper,,,,,议长√
low_interchangeability,Low Compatibility,Increase weapon & engine repair time,Repair time and damage taken by the ship's engines and weapons x %s,2,FALSE,,graphics/ungp/icons/ungp_rules/low_interchangeability.png,ungp.impl.rules.combat.UNGP_LowIInterchangeability,,,,,
wholesale_shells,Wholesale Shells,Part of shells got damp,Weapons shooting ballistic-type projectile have a %s chance to deal %s times damage,1,FALSE,,graphics/ungp/icons/ungp_rules/wholesale_shells.png,ungp.impl.rules.combat.UNGP_WholeShells,Amount of damage reduction:,,,,
twice_the_effort,Emergent Airforce Rebuild,Fighter refit affects fighters performance,"Fighters' damage and resistance are affected by the replacement rate; when the rate is at %s, fighters' performance - %s",2,FALSE,,graphics/ungp/icons/ungp_rules/twice_the_effort.png,ungp.impl.rules.combat.UNGP_TwiceTheEffort,CURRENT FIGHTER PERFORMANCE:,,,,
oppressive_distance,Overwhelming Vision,Increase enemy weapon & sensor range,Enemy weapon and sensor range + %s,3,FALSE,,graphics/ungp/icons/ungp_rules/oppressive_distance.png,ungp.impl.rules.combat.UNGP_OppressiveDistance,,,,,
blocked_flux_conduits,Blocked Flux Conduits,Decrease flux dissipation while shield is on,"While the shield of player's ship is on, based on the active arc of the shield, the flux dissipation -%s",3,FALSE,,graphics/ungp/icons/ungp_rules/blocked_flux_conduits.png,ungp.impl.rules.combat.UNGP_BlockedFluxConduits,Flux Dissipation - ,,,,
century_war,Century War,Enhance the enemy station,Enemy stations take %s less damage and have %s longer weapon range,1,FALSE,,graphics/ungp/icons/ungp_rules/century_war.png,ungp.impl.rules.combat.UNGP_CenturyWar,,,,,议长√
fragment_graveyard,Fragment Graveyard,Flying fragments!,Wreckage from destroyed ships is increased in speed by %s and mass by %s.,1,FALSE,,graphics/ungp/icons/ungp_rules/fragment_graveyard.png,ungp.impl.rules.combat.UNGP_FragmentGraveyard,,,,,议长√
order66,Order 66,Hold your fire!,Friendly fire damage + %s,1,FALSE,,graphics/ungp/icons/ungp_rules/order66.png,ungp.impl.rules.combat.UNGP_Order66,,,,,议长√
phasing_ghost,Phasing Ghost,Phase ship reinforcements,"Every %s seconds, the enemy has a %s chance of receiving reinforcements from a phase ship. A successful reinforcement reduces the chance of the next reinforcement to %s x, a failure increases the probability of the next reinforcement to %s x. Phase ships spawn near random enemy ships, limited to Afflictor, Shade, Harbinger and Doom, with the probability of spawning depending on the biggest hull size on the field.",4,FALSE,,graphics/ungp/icons/ungp_rules/phasing_ghost.png,ungp.impl.rules.combat.UNGP_PhasingGhost,Ghost Invasion... ,,,,议长√
danger_zone,Danger Zone,Enemy ships will keep laying mines,"Every single enemy ship keep laying mines around players' ship every %s/%s/%s/%s seconds, dealing %s high-explosive damage.",3,FALSE,,graphics/ungp/icons/ungp_rules/danger_zone.png,ungp.impl.rules.combat.UNGP_DangerZone,,,,,议长√
,,,,,,,,,,,,,
trade_embargo,Trade Embargo,Reduce the accessibility of colonies,Every hostile market near the player's colony within %s LY reduces accessibility by %s ,2,FALSE,,graphics/ungp/icons/ungp_rules/trade_embargo.png,ungp.impl.rules.economy.UNGP_TradeEmbargo,,,,,议长√
spy,Spy,Reduce the stability of colonies,Every hostile market near the player's colony within %s LY reduces stability by %s ,1,FALSE,,graphics/ungp/icons/ungp_rules/spy.png,ungp.impl.rules.economy.UNGP_Spy,,,,,议长√
fraudulent,Fraudulent,Potential loss of credits in each transaction,"Each time player makes a trade, there is a %s probability that %s of this gain will be deducted. The probability is doubled when the trade takes place on the black market.",1,FALSE,,graphics/ungp/icons/ungp_rules/fraudulent.png,ungp.impl.rules.economy.UNGP_Fraudulent,"Because of the payment security breach, you lost %s",,,,议长√
,,,,,,,,,,,,,
no_way_back,No Way Back,Decrease the number of rules reselection,The rate of gaining specialist rule reselections x %s (once a year becomes once every %s years),1,FALSE,,graphics/ungp/icons/ungp_rules/no_way_back.png,ungp.impl.rules.other.UNGP_NoWayBack,,,,,
work_hard,Work Harder!,You are a capitalist,"When the ratio of marines to crew is lower than %s, there is a %s chance of riot per day, which will cause a random ship to lose %s combat readiness, and %s of crew will die from this riot",2,FALSE,,graphics/ungp/icons/ungp_rules/work_hard.png,ungp.impl.rules.other.UNGP_WorkHard,"Crews riot, %s suffer an accident! %s crews dead...",You need %s more marines to suppress the riot!,,,
monotonous_teller,Monotonous Teller,Keep losing story points,"Every %s days, lose %s story point (cannot drop below zero)",2,FALSE,,graphics/ungp/icons/ungp_rules/monotonous_teller.png,ungp.impl.rules.other.UNGP_MonotonousTeller,"The upper narrative audience thinks your story is still not good enough, deducting your %s story points...",,,,议长√
inflation,Inflation,Money is becoming less and less valuable,"Every month,  lose %s credits",1,FALSE,,graphics/ungp/icons/ungp_rules/inflation.png,ungp.impl.rules.other.UNGP_Inflation,Capital manipulated world evaporated your %s star coins,,,,议长√
,,,,,,,,,,,,,
tech_revolution,Technological Revolution,Increase OP,"OP + %s . While the fleet total dp (non-civilian ships) reached %s, the bonus starts to decay, at most -%s",-3,TRUE,TRUE,graphics/ungp/icons/ungp_rules/tech_revolution.png,ungp.impl.rules.character.UNGP_TechRevolution,,,,,
hss_phoenix,HSS Phoenix,Increase the performance of Flagship: Onslaught ,"When the flagship is an Onslaught series ship, the ship gains %s hitpoints, armor, flux performance and %s max speed and maneuverability, %s max combat readiness.",-4,TRUE,TRUE,graphics/ungp/icons/ungp_rules/hss_phoenix.png,ungp.impl.rules.member.UNGP_HssPhoenix,Onslaughts in game:,,,,
tts_invicible,TTS Invicible,Increase the performance of Flagship: Paragon,"When the flagship is a Paragon series ship, the ship gains %s shield unfold, turn rate, uppkeep performance and %s weapon damage and fire rate, %s max combat readiness.",-4,TRUE,TRUE,graphics/ungp/icons/ungp_rules/tts_invicible.png,ungp.impl.rules.member.UNGP_TtsInvicible,Paragon in game:,,,,议长√
shield_specialization,Shield Specialization,Boost shield parameters,"Shield resistance, turn and unfold rate +%s, upkeep cost -%s",-4,TRUE,TRUE,graphics/ungp/icons/ungp_rules/shield_specialization.png,ungp.impl.rules.member.UNGP_ShieldSpecialization,,,,,
stay_calm,Stay Calm,Missile incoming!,"If the total damage of the missile/torpedo hitting the flagship within %s seconds exceeds %s of the max hitpoints, the time flow rate becomes %s for %s seconds. This effect has a cooldown of {%s} seconds.",-2,TRUE,TRUE,graphics/ungp/icons/ungp_rules/stay_calm.png,ungp.impl.rules.combat.UNGP_StayCalm,Remain %s seconds,%s seconds cool down,,,
gravity_disruptor,Gravity Disruptor,Disrupt the time flow,"The time scale of player's ships +%s, enemy ships -%s",-3,TRUE,TRUE,graphics/ungp/icons/ungp_rules/gravity_disruptor.png,ungp.impl.rules.combat.UNGP_GravityDisruptor,Now your time scale is %s,,,,议长√
cruising_hunting,Cruising Hunting,Reduce cruisers' dp,Player cruisers' deployment points -%s or %s (whichever is greater),-4,TRUE,TRUE,graphics/ungp/icons/ungp_rules/cruising_hunting.png,ungp.impl.rules.member.UNGP_CruisingHunting,,,,,议长√
,,,,,,,,,,,,,
ew_smog,EW Smog,Increase the cap of ECM,Maximum ECM rating + %s,-4,TRUE,,graphics/ungp/icons/ungp_rules/ew_smog.png,ungp.impl.rules.character.UNGP_EwSmog,,,,,议长√
,,,,,,,,,,,,,
salvaging,Optimised Derelict Processing,Salvaging buffs,"Increases the resources gained from salvaging abandoned stations, derelicts, floating hulks, and others by %s (including rare items)",-2,TRUE,,graphics/ungp/icons/ungp_rules/salvaging.png,ungp.impl.rules.fleet.UNGP_Salvaging,,,,,
efficient_fuel,Voyager,Sail farer,Fuel consumption x %s,-2,TRUE,,graphics/ungp/icons/ungp_rules/efficient_fuel.png,ungp.impl.rules.fleet.UNGP_EfficientFuel,,,,,
storm_rider,Storm Rider,"""Storm in my command!""",Your fleet is immune to damage from hyperspace storms,-2,TRUE,,graphics/ungp/icons/ungp_rules/storm_rider.png,ungp.impl.rules.fleet.UNGP_StormRider,,,,,
bustling_fungus,Bustling Fungus,Lower maintenance cost while staying still,"After being immobile for %s day(s), ships' repair speed + %s,maintenance - %s",-1,TRUE,,graphics/ungp/icons/ungp_rules/bustling_fungus.png,ungp.impl.rules.fleet.UNGP_BustlingFungus,REFITTING NOW...,,,,
sneaker,Sneaker,Speed up when slow,"Increase %s max burn level when player fleet is in slow move or ""Go Dark""",-1,TRUE,,graphics/ungp/icons/ungp_rules/sneaker.png,ungp.impl.rules.fleet.UNGP_Sneaker,,,,,议长√
thermodynamics,Thermodynamics,Hyper-charged emergency burn,"Max burn level increased to ""max"" when triggered ""Emergency Burn""",-2,TRUE,,graphics/ungp/icons/ungp_rules/thermodynamics.png,ungp.impl.rules.fleet.UNGP_Thermodynamics,,,,,议长√
endurance,Endurance,Recover CR while low,"Once a player ship's CR falls below %s of the max CR, it directly gains the CR value for one deployment of the required CR. The cooldown time for this effect is %s days per ship.",-2,TRUE,,graphics/ungp/icons/ungp_rules/endurance.png,ungp.impl.rules.fleet.UNGP_Endurance,%s 's cooldown is %s days,,,,议长√
,,,,,,,,,,,,,
more_logistics,Logistics Overhaul,Increase Max Logistical Hullmod,Max Logistics Hullmod + %s,-1,TRUE,,graphics/ungp/icons/ungp_rules/more_logistics.png,ungp.impl.rules.member.UNGP_MoreLogistics,,,,,
wide_radar,Wide-area Radar,Increase sensor strength,Ships' sensor strength + %s,-1,TRUE,,graphics/ungp/icons/ungp_rules/wide_radar.png,ungp.impl.rules.member.UNGP_WideRadar,,,,,
elite_reserves,Elite Reserves,Extra crews increase combat readiness,Extra crews can provide extra combat readiness up to %s,-3,TRUE,,graphics/ungp/icons/ungp_rules/elite_reserves.png,ungp.impl.rules.member.UNGP_EliteReserves,,,,,
,,,,,,,,,,,,,
infighting_book,Guide to Dogfighting,Strengthen ships' low-range weapons,"While the base range of a weapon is lower than or equal to %s and it shots projectiles, it has +%s damage ",-3,TRUE,,graphics/ungp/icons/ungp_rules/infighting_book.png,ungp.impl.rules.combat.UNGP_InfightingBook,,,,,
take_highland,I Have the High Ground!,Increase weapon range when close to objectives,"When within %s range of an objective, player/ally ships' weapon range +%s",-3,TRUE,,graphics/ungp/icons/ungp_rules/take_highland.png,ungp.impl.rules.combat.UNGP_TakeHighLand,"EXISTING OBJECTIVE, WEAPON RANGE x ",,,,
close_formation,Naval Phalanx,Increase the shield resistance & flux dissipation when ships gather,"When a friendly ship is within %s range, player/ally ships' shield resistance and dissipation x %s",-2,TRUE,,graphics/ungp/icons/ungp_rules/close_formation.png,ungp.impl.rules.combat.UNGP_CloseFormation,SHIELD RESITANCE & FLUX DISSIPATION x,,,,
experimental_shunt,Experimental Shunt,Enable dissipation of hard flux,Gain %s hard flux dissipation while in combat.,-1,TRUE,,graphics/ungp/icons/ungp_rules/experimental_shunt.png,ungp.impl.rules.combat.UNGP_ExperimentalShunt,,,,,
critical_hit,Critical Hit,Flagship has chance to do double damage,Any damage dealt by the flagship has a %s chance of being doubled (only shown when the original damage is above 100),-2,TRUE,,graphics/ungp/icons/ungp_rules/critical_hit.png,ungp.impl.rules.combat.UNGP_CriticalHit,,,,,
lucky_seven,Lucky Seven,Blessing from Erina,Any %s th non-beam weapon damage dealt by the flagship will be increased by %s or %s or...?,-1,TRUE,,graphics/ungp/icons/ungp_rules/lucky_seven.png,ungp.impl.rules.combat.UNGP_LuckySeven,,,,,议长√
seer,Seer,See through their veil!,"Every %s seconds, clear the fog of war for %s seconds",-1,TRUE,,graphics/ungp/icons/ungp_rules/seer.png,ungp.impl.rules.combat.UNGP_Seer,,,,,议长√
son_of_core,Son of Core,Reduce the damage from automated ships,Ballistic/Energy/Missile weapon damage from enemy automated ships -%s,-3,TRUE,,graphics/ungp/icons/ungp_rules/son_of_core.png,ungp.impl.rules.combat.UNGP_SonOfCore,,,,,议长√
headhunting,Headhunting,Command the fleet to hunt the target,"After the player issues an eliminate command to an enemy target, for %s seconds, that target takes %s more damage and canceling the eliminate command does not end the effect. This ability has a cooldown of %s seconds. When issuing commands to multiple targets, take the last one.",-2,TRUE,,graphics/ungp/icons/ungp_rules/headhunting.png,ungp.impl.rules.combat.UNGP_Headhunting,has been targeted for hunting......,The next hunt is ready to go...,,,议长√
,,,,,,,,,,,,,
collector,Collector,Flagship can instantly kill low HP enemy ship,"If the flagship deals hull damage to an enemy ship whose hit points is less than or equal to %s, execute the ship and gain %s. Not valid for fighters.",-1,TRUE,,graphics/ungp/icons/ungp_rules/collector.png,ungp.impl.rules.combat.UNGP_Collector,,,League,,和莱√
v_for_vent,V for Vent,Flagship vent bonus,Repeatedly pressing the %s key (for %s of a second at a time) while the player's flagship is venting will increase the vent rate by %s (%s times stackable).,-1,TRUE,,graphics/ungp/icons/ungp_rules/v_for_vent.png,ungp.impl.rules.combat.UNGP_VForVent,Bonus remaining %s s,,,,
let_there_be_light,Let there be Light!,Increase flagship's beam damage to shield,Flagship's beam damage to shield + %s,-3,TRUE,,graphics/ungp/icons/ungp_rules/let_there_be_light.png,ungp.impl.rules.combat.UNGP_LetThereBeLight,,,,,议长√
,,,,,,,,,,,,,
mercantilism,Mercantilism,Increase the accessibility of colonies,"Increase the accessibility of colonies for up to %s, if the accessibility is above %s then bonus will be %s",-2,TRUE,,graphics/ungp/icons/ungp_rules/mercantilism.png,ungp.impl.rules.economy.UNGP_Mercantilism,,,,,
glados,GLaDos,Increase the supply bonus from Alpha core,Add %s supply in industries with an alpha core,-2,TRUE,,graphics/ungp/icons/ungp_rules/glados.png,ungp.impl.rules.economy.UNGP_GLaDos,"Thank you for choosing me, I will take care of your colonies with alpha cores.",,,,
industrial_zone,Industrial Zone,Increase the max amount of industry facilities,"Increase the max amount of industry by %s, but when colony size is lower than or equal to %s, additional industry will suffer from supply -%s",-3,TRUE,,graphics/ungp/icons/ungp_rules/industrial_zone.png,ungp.impl.rules.economy.UNGP_IndustrialZone,,,,,
black_in_black,Black in Black,Swim in the black market,All factions maintain minimum suspicion of you in the black market,-2,TRUE,,graphics/ungp/icons/ungp_rules/black_in_black.png,ungp.impl.rules.economy.UNGP_BlackInBlack,,,,,议长√
,,,,,,,,,,,,,
make_an_exception,Make an Exception,Avoid the Hegemony AI Inspection,"When the player is not hostile with the Hegemony, the AI Inspection has a %s probability of insiders appearing to help the player set things right with money",-2,TRUE,,graphics/ungp/icons/ungp_rules/make_an_exception.png,ungp.impl.rules.other.UNGP_MakeAnException,Some people help you sort everything out on the Hegemony AI Inspection...,,,,议长√
,,,,,,,,,,,,,
tach_labour,Tachyon Labour,Be friendly with [REDACTED],"When selected for the first time, set the relationship between the player and the remnant to %s",-1,TRUE,,graphics/ungp/icons/ungp_rules/tach_labour.png,ungp.impl.rules.other.UNGP_TachLabour,,,,,议长√
full_of_company,Full of Company,Be friendly with many one,"When selected for the first time, set the relationship between the player and the independents/pirates to %s",-1,TRUE,,graphics/ungp/icons/ungp_rules/full_of_company.png,ungp.impl.rules.other.UNGP_FullOfCompany,,,,,议长√
,,,,,,,,,,,,,
ying,Yin,Choose Negative Rules Randomly,"After the Specialist mode rule is selected and confirmed, the rule will be deleted and an unselected %s is added at random. When ""Yang"" is selected, the unselected %s will also be randomized.",2,FALSE,,graphics/ungp/icons/ungp_rules/ying.png,ungp.impl.rules.other.UNGP_Ying,Randomly get %s,,,no_roll,
yang,Yang,Choose Positive Rules Randomly,"After the Specialist mode rule is selected and confirmed, the rule will be deleted and an unselected %s is added at random. When ""Yang"" is selected, the unselected %s will also be randomized.",-2,TRUE,,graphics/ungp/icons/ungp_rules/yang.png,ungp.impl.rules.other.UNGP_Yang,Randomly get %s,,,no_roll,
rain_pour,"When it rains, it pours",Choose Negative Rules Randomly,"After the Specialist mode rule is selected and confirmed, the rule will be deleted and %s unselected %s are added at random. ",4,FALSE,,graphics/ungp/icons/ungp_rules/rain_pour.png,ungp.impl.rules.other.UNGP_RainPour,Randomly get %s,,,no_roll,
amnesia,Amnesia,Lose Negative Rules Randomly,"After the Specialist mode rule is selected and confirmed, the rule will be deleted and an selected %s will be removed at random. ",2,FALSE,,graphics/ungp/icons/ungp_rules/amnesia.png,ungp.impl.rules.other.UNGP_Amnesia,Randomly lose %s,,,no_roll,议长√
,,,,,,,,,,,,,
lobster_perday,Premium Seafood,The master of lobster,Get %s lobster every day when cargo is not full,0,TRUE,,graphics/icons/cargo/lobster.png,ungp.impl.rules.other.UNGP_LobsterPerDay,,,Lurking Chaos,milestone,
birthday_present,Birthday Present,Gain positive rule after one year,"After the Specialist mode rule is selected and confirmed and %s year later, the rule will be deleted and an unselected positive rule is added at random. (You could repick the rules and maintain this rule, the time that you get the extra rule will not be affected)",0,TRUE,,graphics/ungp/icons/ungp_rules/milestones/birthday_present.png,ungp.impl.rules.other.UNGP_BirthdayPresent,Happy birthday! Randomly get %s,You will receive your birthday gift on %s-%s-%s .,Your family,milestone,议长√
entropius_mind,Entropius Mind,Change all the rules each week,"Each week, all rules are randomly shuffled back, and several positive or negative rules are selected at complete random.",0,TRUE,,graphics/ungp/icons/ungp_rules/milestones/entropius_mind.png,ungp.impl.rules.other.UNGP_EntropiusMind,You are suddenly in a trance...,There are %s days until the next random,The God who rolls the dice,"milestone,no_roll",default
still_growing_up,Still Growing Up,Gain a positive rule every few months,"Gain a positive rule every few months,""After selecting this rule, you can get a positive rule at random every few months (you can't get golden/milestone rules, and rules with low cost are preferred). The interval at the beginning is %s months, and for each acquisition, the next interval increases by %s months.",-4,TRUE,TRUE,graphics/ungp/icons/ungp_rules/milestones/still_growing_up.png,ungp.impl.rules.other.UNGP_StillGrowingUp,You have randomly gained %s,There are %s months until your next growth,"""Thirty years of river east, thirty years of river west, do not bully the youth poor!""",milestone,
symbol_perseus,Symbol Perseus,Show the power of continuous overcoming,"In %s seconds, if the flagship continually disable/destroy %s ships, every next continue-disable will gains %s of max flux dissipated bonus.",-4,TRUE,,graphics/ungp/icons/ungp_rules/milestones/symbol_perseus.png,ungp.impl.rules.combat.UNGP_SymbolPerseus,,,"""Thou, witness the heavenly might of the Emperor.""",milestone,
